Job Title,Job Salary,Key Skills,Role Category,Functional Area,Industry,Role
C python Expert with Networking Skills,Not Disclosed by Recruiter,vc++ django networking_c_/_c++ mongo_db python,Programming_&_Design,IT_Software,IT-Software Software_Services,Technical Architect
CRM Manager with MNC Car Manufacturer Company,Not Disclosed by Recruiter,crm,Marketing,Marketing Advertising MR PR Media_Planning,Automobile Auto_Anciliary Auto_Components,Marketing Manager
Design Engineer Must Exp in Corel Draw ,"50,000-1,50,000",corel_draw corel_designer autocad_engineer autocad_drawing,Other,Design Creative User_Experience,Printing Packaging,Trainee
UI Developer Html css,Not Disclosed by Recruiter,html css ui_development web_development ux front_end web_technologies html5 css3 angularjs,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Job Opening For An Mnc Yrs java Support Profile Bangalore,"3,00,000-6,00,000",spring java struts application_support jsp debugging mvc hibernate core_java framework,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
PHP Developer,Not Disclosed by Recruiter,server development assets php_mysql tools javascript git xml design html mysql mvc programming,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
WM Client Technology Software Engineer,Not Disclosed by Recruiter,core_java hibernate tomcat linux xml jsp oracle sybase sql ajax,Programming_&_Design,IT_Software,Banking Financial_Services Broking,Software Developer
Management Trainee,Not Disclosed by Recruiter,sales communications_skills negotiation lead_generation demand_generation business_development digital_marketing,Other,Sales Retail Business_Development,IT-Software Software_Services,Trainee
Hostess,Not Disclosed by Recruiter,smart_looking good_looking smart executive_assistant willing_to_work sales,Food_&_Beverage,Hotels Restaurants,Travel Hotels Restaurants Airlines Railways,Host/Hostess
Senior Associate,Not Disclosed by Recruiter,documentation esop,Drug_Regulatory_Affairs Documentation,Legal Regulatory Intellectual_Property,Banking Financial_Services Broking,Documentation/Medical Writing
Hiring Fresher marketing Executive electronic Industry mumbai Lakhs,"2,00,000-2,50,000",marketing marketing_executive electronics_sales sales sales_executive,Marketing,Marketing Advertising MR PR Media_Planning,Consumer_Electronics Appliances Durables,Direct Marketing Executive
Associate Social Media Marketing,Not Disclosed by Recruiter,social_media social_media_marketing adwords social_media_optimization,Online Digital_Marketing,Marketing Advertising MR PR Media_Planning,Media Entertainment Internet,Social Media Marketing Manager
Sr Net Developer,"4,00,000-6,00,000",wcf asp.net jquery mvc c# javascript sql_server .net_framework angularjs web_services,Programming_&_Design,IT_Software,Banking Financial_Services Broking,Software Developer
Lead learning and Development,Not Disclosed by Recruiter,moodle lms elearning training_manager,Teachers,Teaching Education Training Counselling,Education Teaching Training,Trainer
American Technology Consulting Node js Engineer,Not Disclosed by Recruiter,linux mysql sql cloud_computing backend nosql tdd mongodb test_cases ruby,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Technical Lead Net Web API Core,Not Disclosed by Recruiter,application_deployment web_technologies linux web_application technical_lead deployment windows mvc software_services sql,Programming_&_Design,IT_Software,Recruitment Staffing,Software Developer
IAM Security Solution Architect,Not Disclosed by Recruiter,tomcat jboss apache redhat webmethods access_management information_security troubleshooting middleware financial_services,Programming_&_Design,IT_Software,Education Teaching Training,Technical Architect
SCSM Administration Across India Locations Immediate Start,"6,00,000-16,00,000",forefront system_center hiring sharepoint scsm microsoft_technologies providing_training sql_server identity_management incident_management,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
UI UX Developer,Not Disclosed by Recruiter,six_sigma pmp python server business_analysts development architects html5 mobile system_administration developing adobe html windows lead_developers ui web design .net ios_development system_integration css3,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Sr Hardware Engineer,Not Disclosed by Recruiter,vendor_management layout simulation hardware_design schematic technical_skills arm,IT_Hardware,IT_Hardware Technical_Support Telecom_Engineering,IT-Software Software_Services,Hardware Design Engineer
Urgent Opening for Design cum Proposal Engineer STP WTP ETP ,"3,00,000-5,00,000",etp wtp effluent_treatment_plant water_treatment_plant waste_water_treatment plant_design proposal_engineer sewage_treatment_plant proposal_engineering stp design_engineer,Site_Engineering,Site_Engineering Project_Management,Water_Treatment Waste_Management,Civil Engineer-Water/Wastewater
Junior Front End Developer Lead Engineer Html css,Not Disclosed by Recruiter,css prototyping html frontend,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Icon Graphic Designer,Not Disclosed by Recruiter,graphics illustrator graphic_designing animation machine_learning digital_design adobe_after_effects interaction_design copy_writing,Creative,Design Creative User_Experience,IT-Software Software_Services,Graphic Designer
Marketing Executive Assistant,Not Disclosed by Recruiter,excel ms_office_word internet_browsing outlook back_office communication_skills,Marketing,Marketing Advertising MR PR Media_Planning,Banking Financial_Services Broking,Direct Marketing Executive
Lead Infra Engg,Not Disclosed by Recruiter,netcool sad infrastructure,Programming_&_Design,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
DGM Equipment Plant Layout,Not Disclosed by Recruiter,building coordination_skills civil autocad thermal_power_project ahp epc plant_layout chp electricals,Engineering_Design,Engineering_Design R&D,Recruitment Staffing,Technical Lead/Project Lead
TibcoStreambase Developer,Not Disclosed by Recruiter,networking analytical oracle career_development tibco_administrator development tibco_ems tibco tibco_hawk it cost tibco_business_events pdf application design developer support,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Android Developer Mumbai,"4,25,000-6,50,000",native java rest android_development,Programming_&_Design,IT_Software,Media Entertainment Internet,Software Developer
Customer Success Executive,"5,00,000-10,00,000",sales_process product_marketing product_training account_management product_service interpersonal_skills saas crm customer_relationship_management,Quality,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Quality Assurance/Quality Control Executive
HR Manager Talent Acquisition,"15,00,000-25,00,000",talent_acquisition,HR Recruitment IR,HR Recruitment Administration IR,Electricals Switchgears,HR Business Partner
Digital Senior Process Manager Reporting and Analytics,Not Disclosed by Recruiter,telecom recruitment analytics seo html financial_services client_management staffing business_operations process_management,Operations,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Operations Manager
Front end Developer with Gaming,"8,50,000-12,00,000",css front_end game_development games game,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
TRAINER IT Infrastructure Library,Not Disclosed by Recruiter,training iso_20000 support l1 level consulting it_infrastructure subject_matter_expertise itil presentation_skills,Other,IT_Software,IT-Software Software_Services,Trainer/Faculty
Senior Project Coordinator Sr Project Lead,Not Disclosed by Recruiter,wordpress php project_estimation project_delivery project_leading project_coordination risk_management business_analysis business_analyst,Programming_&_Design,IT_Software,IT-Software Software_Services,Project Lead
PHP Developer Years ,Not Disclosed by Recruiter,web_developer codeigniter_framework api web_services jquery javascript user_experience_design php senior_php_developer,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
PPMC Demand wma Resources Mumbai,Not Disclosed by Recruiter,jquery html5 css iis .net .net_3.5,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Software Development Engineer in Test SDET ,Not Disclosed by Recruiter,computer_science automation_testing coding jenkins infrastructure mentor test_cases aws,Programming_&_Design,IT_Software,Accounting Finance,Software Developer
Salesforce Developer Vlocity,"2,00,000-7,00,000",apex force.com visualforce salesforce.com salesforce web_services software_development soap life_cycle data_modeling,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
SEO Java Developer,"4,00,000-9,00,000",core_java spring_mvc hibernate seo,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Network Administrator Routing Switching,Not Disclosed by Recruiter,networking switching routing juniper vpn network_administration,Programming_&_Design,IT_Software,IT-Hardware_&_Networking,Software Developer
Adoption Manager Pune,Not Disclosed by Recruiter,product_management cisco_uc unified_communications product_development customer_life_cycle_management cisco_collaboration csm cisco_webex cisco_unified_communications new_product,Operations,ITES BPO KPO LPO Customer_Service Operations,Telecom ISP,Business Development Manager
Transport coordinators,Not Disclosed by Recruiter,excel technical transportation spoken_english business_executive,HR Recruitment IR,HR Recruitment Administration IR,Facility_Management,Training Manager
SENIOR PROJECT MANAGER,Not Disclosed by Recruiter,piping construction site_engineer structure construction_management engineer autocad project_planning,Project_Management,Site_Engineering Project_Management,Telcom ISP,Project Manager-Production/Manufacturing/Maintenance
RPA COE Technical Lead,Not Disclosed by Recruiter,center_of_excellence process_automation rpa coe automation_anywhere,Programming_&_Design,IT_Software,IT-Software Software_Services,Technical Architect
HR Manager Recruitment IT,Not Disclosed by Recruiter,hr_management hr hr_manager sourcing recruitment talent_acquisition,HR Recruitment IR,HR Recruitment Administration IR,IT-Software Software_Services,HR Manager
Stenographer Data Entry Operator,Not Disclosed by Recruiter,sms data_entry_operator management executive_search office_coordinator query management_executive cloud,Administration Facility_Management,HR Recruitment Administration IR,Recruitment Staffing,Executive/ Sr Executive - Administration
Immediate Opening for Sharepoint Developer mnc bangalore,"5,00,000-14,00,000",azure sharepoint_designer application_integration asp.net_mvc sharepoint_server,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Immediate Openings For B E Freshers,Not Disclosed by Recruiter,customer_support bde freshers technical_support data_management b.e backend_operations bda,Technical_Support,IT_Hardware Technical_Support Telecom_Engineering,Education Teaching Training,Customer Support Engineer/Technician
Embedded Graphics Developer C c ,Not Disclosed by Recruiter,embedded_system rtos 3d c++ c opengl algorithm programming,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Front End Developer ,"3,00,000-8,00,000",front_end angularjs html5 css3 javascript,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Urgent Opening for Affiliated Marketing Manager,"3,00,000-6,00,000",marketing_management health_insurance,Online Digital_Marketing,Marketing Advertising MR PR Media_Planning,Insurance,Affiliate Marketing Manager
Senior QA Test Engineer,Not Disclosed by Recruiter,software_testing linux agile test_cases jira test_engineering,HR Recruitment IR,HR Recruitment Administration IR,IT-Hardware_&_Networking,Training Manager
Senior Developer PHP ,Not Disclosed by Recruiter,linux mysql php jquery javascript developer mvc object_oriented_programming business_executive ajax,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Angular Developer Min Exp in Development NAVI Mumbai,"3,00,000-6,00,000",javascript jquery html css ajax angularjs html5 mvc web_services tomcat,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Developer SAP,Not Disclosed by Recruiter,sap_abap,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Company Secretary CS for G noida,"1,00,000-4,00,000",company_secretary assistant_company_secretary,Senior_Management,Accounts Finance Tax Company_Secretary Audit,Printing Packaging,Company Secretary
Director Software Engineering,Not Disclosed by Recruiter,clojure javascript elastic_search scala sql big_data software_engineering schema computer_science *big_data react_js,Senior_Management,IT_Software,IT-Software Software_Services,Head/VP/GM-Technology(IT)/CTO
Sr Software Engineer D T Web Content Management Sitecore,Not Disclosed by Recruiter,sr._software_engineer d&t_-_web_content_management_/_sitecore,Programming_&_Design,IT_Software,Pharma Biotech Clinical_Research,Software Developer
Marketing Officer Leading Group ,"5,00,000-7,00,000",digital_marketing website brochures google_adwords e_-_marketing branding linkedin manual presentation marketing online_marketing exhibitions advertisement product_positioning catalogues creativity seo marketing_events ms_office promotion,Marketing,Marketing Advertising MR PR Media_Planning,Industrial_Products Heavy_Machinery,Marketing Manager
Maintenance Engineer Process,Not Disclosed by Recruiter,help_desk customer_service customer_relationship access_controls asset_management vendor_management,Other,Production Manufacturing Maintenance,Recruitment Staffing,Trainee
Executive Relationships,Not Disclosed by Recruiter,client_servicing marketing_communications accounts organizing press corporate_communications,Marketing,Marketing Advertising MR PR Media_Planning,Banking Financial_Services Broking,Corporate Communication Executive
Embedded Engineer power Electronics ,Not Disclosed by Recruiter,development_testing converter power_electronics,Engineering_Design,Engineering_Design R&D,Semiconductors Electronics,Design Engineer
Hiring For SAP ABAP Exp Years Location Pune Notice Immediate ,Not Disclosed by Recruiter,sap_abap badis oo_abap adobe_forms ricef alv sap_pi sap_sd,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Job Opening for Quality Service Management with Shared Service,"10,00,000-15,00,000",auditing audit_compliance process_improvement quality_management service_quality performance_reporting service_management six_sigma green_belt black_belt six_sigma_yellow_belt,Operations,ITES BPO KPO LPO Customer_Service Operations,Banking Financial_Services Broking,Operations Manager
Digital Marketing Executive,Not Disclosed by Recruiter,seo digital_marketing google_analytics social_media_marketing google_adwords online_marketing content_marketing classified omniture webtrends keyword_research,Online Digital_Marketing,Marketing Advertising MR PR Media_Planning,IT-Software Software_Services,Search Engine Optimisation /SEO Specialist
